,name,year,engine,transmission,fuel,ownership,distance_travelled,Price
1610, Maruti Ciaz,2018,ALPHA DIESEL 1.3,Manual,Diesel,1st Owner,102633,811000
1611, Hyundai Verna,2018,1.6 VTVT SX (O) AT,Automatic,Petrol,1st Owner,63115,1039000
1612, Maruti Celerio,2016,ZXI AMT,Automatic,Petrol,1st Owner,41464,480000
1613, Maruti Wagon R 1.0,2015,VXI,Manual,Petrol,2nd Owner,80863,379000
1614, Hyundai Eon,2017,ERA PLUS (O),Manual,Petrol,1st Owner,20089,398000
1615, Maruti Alto 800,2012,LXI,Manual,Petrol,2nd Owner,88416,232000
1616, Hyundai NEW I20,2020,Asta 1.0 GDI Turbo IMT,Manual,Petrol,1st Owner,14949,1002000
1617, Maruti Swift,2016,VXI,Manual,Petrol,1st Owner,60777,578000
1618, Honda City,2017,1.5L I-VTEC ZX CVT,Automatic,Petrol,1st Owner,72016,938000
1619, Honda Jazz,2017,1.2L I-VTEC V AT,Automatic,Petrol,1st Owner,79575,655000
1620, Maruti Celerio,2018,ZXI (O),Manual,Petrol,2nd Owner,37270,514000
1621, Maruti S PRESSO,2019,VXI+,Manual,Petrol,1st Owner,51395,446000
1622, Honda City,2017,1.5L I-VTEC VX,Manual,Petrol,1st Owner,81850,792000
1623, Hyundai Grand i10,2017,SPORTZ (O) 1.2 KAPPA VTVT,Manual,Petrol,2nd Owner,65730,529000
1624, Honda City,2018,VX CVT PETROL,Automatic,Petrol,1st Owner,66399,888000
1625, Mahindra XUV500,2018,W7,Manual,Diesel,2nd Owner,105759,1160000
1626, Maruti Swift,2014,VXI,Manual,Petrol,1st Owner,62029,503000
1627, Hyundai Grand i10,2017,ASTA 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,34757,587000
1628, Hyundai Elite i20,2016,ASTA 1.2,Manual,Petrol,1st Owner,58715,697800
1629, Maruti Baleno,2019,ALPHA CVT PETROL 1.2,Automatic,Petrol,1st Owner,30270,820000
1630, Renault Duster,2015,85 PS RXL PLUS DIESEL,Manual,Diesel,2nd Owner,68845,676000
1631, Maruti Swift,2020,VXI,Manual,Petrol,1st Owner,61433,673000
1632, Honda Brio,2012,S MT,Manual,Petrol,2nd Owner,79059,332000
1633, Ford FREESTYLE,2018,TITANIUM 1.2 PETROL,Manual,Petrol,1st Owner,54813,577000
1634, Honda Jazz,2017,1.2 V AT,Automatic,Petrol,1st Owner,70602,640000
1635, Maruti Swift,2019,VXI AMT,Automatic,Petrol,1st Owner,48168,686000
1636, Honda Brio,2012,S MT,Manual,Petrol,1st Owner,57361,354000
1637, Maruti Swift,2018,VXI AMT,Automatic,Petrol,1st Owner,25537,682000
1638, Ford Ecosport,2016,TITANIUM+ 1.5L DIESEL,Manual,Diesel,2nd Owner,106835,699000
1639, Honda Brio,2012,S MT,Manual,Petrol,1st Owner,69210,342000
1640, Volkswagen Vento,2016,HIGHLINE PETROL AT,Automatic,Petrol,2nd Owner,50816,756000
1641, Hyundai Verna,2020,SX (O) 1.5 CRDI AT,Automatic,Diesel,1st Owner,33437,1572000
1642, Hyundai Creta,2017,SX PLUS 1.6 PETROL,Manual,Petrol,1st Owner,58203,1043000
1643, Honda WR-V,2017,1.2L I-VTEC VX MT,Manual,Petrol,2nd Owner,72452,702000
1644, Datsun Redi Go,2021,A,Manual,Petrol,1st Owner,11700,404000
1645, Honda Brio,2012,S MT,Manual,Petrol,1st Owner,64655,356000
1646, Hyundai Verna,2020,SX 1.5 CRDI AT,Automatic,Diesel,1st Owner,62593,1312000
1647, Tata TIGOR,2021,XZ PLUS PETROL,Manual,Petrol,1st Owner,23993,707000
1648, Maruti Celerio,2016,ZXI AMT,Automatic,Petrol,1st Owner,33371,509000
1649, Ford Ecosport,2018,TITANIUM + 1.5L PETROL AT,Automatic,Petrol,2nd Owner,12623,918000
1650, Maruti Celerio,2017,ZXI AMT (O),Automatic,Petrol,1st Owner,34801,532000
1651, Honda Brio,2012,S(O) MT,Manual,Petrol,2nd Owner,60181,334000
1652, Hyundai Grand i10,2015,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,50516,493000
1653, Hyundai AURA,2020,SX PLUS 1.2 AMT,Automatic,Petrol,1st Owner,23583,805000
1654, Hyundai Grand i10,2018,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,2nd Owner,36977,564000
1655, Hyundai Verna,2013,FLUIDIC 1.6 CRDI SX,Manual,Diesel,1st Owner,81959,539000
1656, Maruti S PRESSO,2022,VXI PLUS,Manual,Petrol,1st Owner,17888,522000
1657, Maruti Baleno,2017,DELTA PETROL 1.2,Manual,Petrol,1st Owner,45681,641000
1658, Hyundai Grand i10,2016,ASTA (O) AT 1.2 KAPPA VTVT,Automatic,Petrol,2nd Owner,39693,552000
1659, Hyundai Grand i10,2015,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,46988,483000
1660, Maruti Swift,2013,VXI,Manual,Petrol,1st Owner,70639,453000
1661, Skoda SLAVIA,2022,AMBITION 1.0L TSI AT,Automatic,Petrol,1st Owner,11522,1462000
1662, Hyundai Eon,2016,ERA PLUS (O),Manual,Petrol,1st Owner,11079,342000
1663, Maruti Swift,2015,VDI ABS,Manual,Diesel,1st Owner,87753,577000
1664, Ford Ecosport,2018,TITANIUM + 1.5L PETROL,Manual,Petrol,2nd Owner,6492,942000
1665, Maruti Alto K10,2010,VXI,Manual,Petrol,1st Owner,41987,234000
1666, Ford Ecosport,2018,TITANIUM 1.5L PETROL AT,Automatic,Petrol,2nd Owner,65598,890000
1667, Mahindra XUV500,2018,W7,Manual,Diesel,2nd Owner,67379,1293000
1668, Honda Jazz,2021,1.2L I-VTEC ZX,Manual,Petrol,1st Owner,25802,843000
1669, Maruti Baleno,2016,DELTA CVT PETROL 1.2,Automatic,Petrol,2nd Owner,63837,669000
1670, Maruti Baleno,2017,ZETA PETROL 1.2,Manual,Petrol,2nd Owner,63359,681000
1671, Maruti Swift,2018,VXI AMT,Automatic,Petrol,2nd Owner,42059,664000
1672, Maruti Alto 800,2016,VXI,Manual,Petrol,2nd Owner,28925,328000
1673, Mahindra XUV500,2016,W10,Manual,Diesel,1st Owner,78295,1325600
1674, Maruti Alto 800,2014,LXI,Manual,Petrol,1st Owner,37510,315000
1675, Maruti Alto 800,2013,VXI,Manual,Petrol,1st Owner,48444,270000
1676, Honda Jazz,2017,1.2L I-VTEC V AT,Automatic,Petrol,1st Owner,50359,642000
1677, Honda Amaze,2014,1.2L I-VTEC VX,Manual,Petrol,2nd Owner,75565,450000
1678, Hyundai Grand i10,2018,SPORTZ AT 1.2 KAPPA VTVT,Automatic,Petrol,1st Owner,53576,625000
1679, Maruti Swift,2018,VXI AMT,Automatic,Petrol,1st Owner,56410,650000
1680, Honda Jazz,2016,1.2L I-VTEC S AT,Automatic,Petrol,2nd Owner,65605,570000
1681, Honda City,2021,1.5L I-VTEC ZX,Manual,Petrol,1st Owner,17688,1361000
1682, Skoda Rapid,2018,AMBITION 1.6 MPI AT,Automatic,Petrol,1st Owner,45047,822000
1683, Maruti Alto 800,2014,LXI,Manual,Petrol,1st Owner,71218,265000
1684, Honda Jazz,2016,1.2L I-VTEC V,Manual,Petrol,2nd Owner,90773,573000
1685, Honda Jazz,2015,1.2L I-VTEC V AT,Automatic,Petrol,2nd Owner,74342,576000
1686, Maruti Celerio,2017,ZXI AMT (O),Automatic,Petrol,2nd Owner,50894,478000
1687, Maruti Celerio,2016,ZXI,Manual,Petrol,2nd Owner,15437,464000
1688, Maruti Alto,2021,VXI PLUS,Manual,Petrol,2nd Owner,24343,434000
1689, Toyota YARIS,2021,G CVT,Automatic,Petrol,1st Owner,33206,978000
1690, Honda Brio,2013,S MT,Manual,Petrol,1st Owner,38197,406000
1691, Maruti Alto K10,2011,VXI,Manual,Petrol,1st Owner,69551,236000
1692, Tata Tiago,2017,XT PETROL,Manual,Petrol,2nd Owner,68039,482000
1693, Ford Ecosport,2016,TITANIUM 1.5L PETROL AT,Automatic,Petrol,2nd Owner,49068,718000
1694, Honda WR-V,2017,1.5L I-DTEC VX MT,Manual,Diesel,2nd Owner,106248,719000
1695, Ford Ecosport,2016,TITANIUM 1.5L DIESEL,Manual,Diesel,1st Owner,51215,730000
1696, Honda City,2016,1.5L I-VTEC VX CVT,Automatic,Petrol,2nd Owner,110941,709000
1697, Maruti Swift,2013,VDI,Manual,Diesel,2nd Owner,97871,460000
1698, Maruti Swift,2014,VXI,Manual,Petrol,1st Owner,38450,561000
1699, Maruti Swift,2015,VDI ABS,Manual,Diesel,1st Owner,84877,628000
1700, Ford Ecosport,2018,TITANIUM 1.5L PETROL AT,Automatic,Petrol,2nd Owner,43481,839000
1701, Hyundai Elite i20,2017,SPORTZ 1.2,Manual,Petrol,1st Owner,62621,669000
1702, Maruti S PRESSO,2021,VXI+,Manual,Petrol,1st Owner,11415,493000
1703, Ford Ecosport,2018,TITANIUM + 1.5L PETROL AT,Automatic,Petrol,2nd Owner,65828,825000
1704, Mahindra XUV500,2018,W9 AT,Automatic,Diesel,1st Owner,78000,1604000
1705, Maruti Celerio,2016,ZXI AMT,Automatic,Petrol,1st Owner,69565,487000
1706, Honda City,2016,1.5L I-VTEC VX CVT,Automatic,Petrol,2nd Owner,48698,762000
1707, Maruti Baleno,2017,ZETA PETROL 1.2,Manual,Petrol,2nd Owner,33850,711000
1708, Honda City,2019,1.5L I-VTEC V MT,Manual,Petrol,2nd Owner,42445,819000
1709, Maruti Vitara Brezza,2017,ZDI PLUS,Manual,Diesel,1st Owner,69004,983000
1710, Maruti Wagon R 1.0,2013,VXI,Manual,Petrol,1st Owner,58323,366000
1711, Maruti Celerio,2017,ZXI AMT (O),Automatic,Petrol,2nd Owner,22479,553000
1712, Toyota YARIS,2021,G MT,Manual,Petrol,1st Owner,20754,1045000
1713, Honda Brio,2015,S MT,Manual,Petrol,2nd Owner,73916,377000
1714, Maruti Wagon R 1.0,2010,LXI,Manual,Petrol,1st Owner,63915,291000
1715, Maruti Baleno,2017,ALPHA CVT PETROL 1.2,Automatic,Petrol,1st Owner,77995,710000
1716, Maruti Swift,2018,VXI AMT,Automatic,Petrol,1st Owner,87660,632000
1717, Hyundai Grand i10,2015,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,24972,502000
1718, Maruti S PRESSO,2021,VXI+,Manual,Petrol,1st Owner,52288,446000
1719, Renault Duster,2014,85 PS RXL PLUS DIESEL,Manual,Diesel,2nd Owner,110455,621000
1720, Hyundai Grand i10,2014,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,85047,423000
1721, Hyundai Grand i10,2015,ASTA AT 1.2 KAPPA VTVT,Automatic,Petrol,2nd Owner,36459,541000
1722, Honda Amaze,2018,1.2L I-VTEC V CVT,Automatic,Petrol,1st Owner,7459,812000
1723, Maruti Swift,2018,VXI AMT,Automatic,Petrol,1st Owner,49578,692000
1724, Maruti Celerio,2015,ZXI AMT,Automatic,Petrol,2nd Owner,45701,453000
1725, Honda Jazz,2017,1.2L I-VTEC V AT,Automatic,Petrol,1st Owner,69054,633000
1726, Tata Tiago,2021,XZ PLUS DUAL TONE PETROL,Manual,Petrol,1st Owner,35097,732000
1727, Hyundai Eon,2015,ERA +,Manual,Petrol,1st Owner,26541,304000
1728, Maruti Celerio,2016,ZXI AMT,Automatic,Petrol,1st Owner,28813,541000
1729, Hyundai Verna,2017,1.6 VTVT SX (O) AT,Automatic,Petrol,1st Owner,29735,1052000
1730, Maruti S PRESSO,2019,VXI+,Manual,Petrol,1st Owner,15871,471000
1731, Maruti Baleno,2018,ALPHA DIESEL 1.3,Manual,Diesel,1st Owner,72348,754000
1732, Hyundai NEW SANTRO,2019,SPORTZ MT,Manual,Petrol,1st Owner,25607,538000
1733, Toyota YARIS,2021,G MT,Manual,Petrol,2nd Owner,17875,972000
1734, Maruti Dzire,2019,ZXI PLUS AMT,Automatic,Petrol,1st Owner,51801,760000
1735, Maruti Celerio,2016,VXI AMT (O),Automatic,Petrol,1st Owner,66596,468000
1736, Honda City,2016,1.5L I-VTEC V MT,Manual,Petrol,2nd Owner,32196,686000
1737, Maruti Celerio X,2018,ZXI AMT,Automatic,Petrol,1st Owner,23219,566000
1738, Maruti Baleno,2021,ALPHA CVT PETROL 1.2,Automatic,Petrol,1st Owner,9358,969000
1739, Maruti S PRESSO,2022,VXI+,Manual,Petrol,1st Owner,6922,556000
1740, Maruti Celerio,2016,ZXI AMT,Automatic,Petrol,2nd Owner,36607,508000
1741, Hyundai Eon,2016,MAGNA PLUS,Manual,Petrol,1st Owner,74129,291000
1742, Hyundai Grand i10,2015,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,46156,489000
1743, Toyota YARIS,2021,G CVT,Automatic,Petrol,1st Owner,26671,1013000
1744, Jeep Compass,2018,SPORT 2.0 DIESEL,Manual,Diesel,1st Owner,79040,1277000
1745, Maruti Alto,2010,LXI,Manual,Petrol,2nd Owner,38283,173000
1746, Renault Kwid,2016,RXT 0.8,Manual,Petrol,2nd Owner,84772,275000
1747, Maruti Baleno,2017,DELTA PETROL 1.2,Manual,Petrol,1st Owner,84422,510000
1748, Maruti Baleno,2015,ALPHA DIESEL 1.3,Manual,Diesel,3rd Owner,84473,548000
1749, Maruti Baleno,2018,SIGMA DIESEL 1.3,Manual,Diesel,2nd Owner,60281,574000
1750, Hyundai Verna,2011,FLUIDIC 1.6 CRDI EX,Manual,Diesel,2nd Owner,83667,385000
1751, Hyundai i20,2012,MAGNA (O) 1.4 CRDI,Manual,Diesel,2nd Owner,64958,357000
1752, Hyundai Grand i10,2014,ASTA AT 1.2 KAPPA VTVT,Automatic,Petrol,3rd Owner,44707,396000
1753, Hyundai i10,2010,ERA 1.1,Manual,Petrol,3rd Owner,57876,213000
1754, Renault Kwid,2017,CLIMBER 1.0 AMT,Automatic,Petrol,3rd Owner,49779,367000
1755, Maruti Dzire,2017,VXI AMT,Automatic,Petrol,1st Owner,31349,581000
1756, Maruti Swift,2022,VXI,Manual,Petrol,1st Owner,16522,774000
1757, Hyundai Elite i20,2017,SPORTZ 1.2,Manual,Petrol,1st Owner,71275,611000
1758, Volkswagen Polo,2017,HIGHLINE1.2L,Manual,Petrol,2nd Owner,86757,631000
1759, Maruti Ertiga,2017,ZXI+,Manual,Petrol,2nd Owner,58480,810000
1760, Maruti Ertiga,2016,ZDI + SHVS,Manual,Diesel,1st Owner,67705,846000
1761, Maruti Zen Estilo,2013,LXI CNG,Manual,nerCNG,1st Owner,"38,594",276000
1762, Honda City,2013,1.5L I-VTEC V MT,Manual,Petrol,1st Owner,104570,387000
1763, Maruti Swift,2017,LXI (O),Manual,Petrol,1st Owner,52695,472000
1764, Maruti Baleno,2016,DELTA PETROL 1.2,Manual,Petrol,1st Owner,50173,591000
1765, Renault Kiger,2021,RXZ TURBO MT,Manual,Petrol,1st Owner,27839,777000
1766, Volkswagen Polo,2018,GT TSI 1.2 PETROL AT,Automatic,Petrol,2nd Owner,51270,803000
1767, Hyundai Verna,2013,FLUIDIC 1.6 CRDI SX,Manual,Diesel,1st Owner,57820,576000
1768, Maruti Swift,2015,ZXI,Manual,Petrol,3rd Owner,99666,485000
1769, Renault Kwid,2018,RXT 1.0,Manual,Petrol,1st Owner,85458,335000
1770, Maruti Swift Dzire,2012,ZDI,Manual,Diesel,3rd Owner,93338,444000
1771, Maruti Alto K10,2016,VXI,Manual,Petrol,3rd Owner,65484,318000
1772, Maruti Swift,2011,VXI,Manual,Petrol,2nd Owner,82830,344000
1773, Maruti Swift Dzire,2011,VDI,Manual,Diesel,1st Owner,42993,377000
1774, Hyundai Verna,2018,1.6 EX CRDI,Manual,Diesel,1st Owner,76073,815000
1775, Volkswagen Polo,2019,HIGH LINE PLUS 1.0,Manual,Petrol,1st Owner,47613,736000
1776, Maruti Swift,2015,LXI (O),Manual,Petrol,1st Owner,89200,461000
1777, Mahindra XUV 3OO,2020,W4 1.2 PETROL,Manual,Petrol,1st Owner,13631,777000
1778, Renault Kwid,2017,1.0 RXT 02 Anniversary Edition,Manual,Petrol,1st Owner,30810,360000
1779, Tata Harrier,2019,XZ 2.0L Kryotec,Manual,Diesel,1st Owner,28315,1629000
1780, Hyundai i10,2011,ERA 1.1,Manual,Petrol,1st Owner,103823,233000
1781, Honda Amaze,2014,1.2L I-VTEC E,Manual,Petrol,1st Owner,45696,391000
1782, Hyundai i20,2010,ASTA 1.2,Manual,Petrol,2nd Owner,52111,330000
1783, Maruti Swift,2010,VXI,Manual,Petrol,2nd Owner,99276,327000
1784, Volkswagen Polo,2016,GT TSI AT,Automatic,Petrol,2nd Owner,96698,735000
1785, Hyundai Eon,2012,D-LITE+,Manual,Petrol,2nd Owner,123598,219000
1786, Maruti Swift Dzire,2010,VXI,Manual,Petrol,2nd Owner,40020,325000
1787, Hyundai Verna,2018,1.4 E PETROL,Manual,Petrol,1st Owner,11375,806000
1788, Renault Duster,2015,RXE PETROL,Manual,Petrol,2nd Owner,67363,527000
1789, Maruti Swift,2011,VXI,Manual,Petrol,2nd Owner,46387,376000
1790, Tata Tiago,2017,XE PETROL,Manual,Petrol,1st Owner,38063,427000
1791, Hyundai Santro Xing,2014,GLS,Manual,Petrol,1st Owner,77426,295000
1792, Honda Amaze,2014,1.5L I-DTEC S,Manual,Diesel,2nd Owner,77710,398000
1793, Skoda Rapid,2012,ELEGANCE 1.6 TDI MT,Manual,Diesel,1st Owner,82081,440000
1794, Renault TRIBER,2020,RXZ AMT,Automatic,Petrol,1st Owner,7922,741000
1795, Hyundai GRAND I10 NIOS,2020,SPORTZ AMT 1.2 KAPPA VTVT,Automatic,Petrol,1st Owner,20150,694000
1796, Hyundai i10,2012,SPORTZ 1.2,Manual,Petrol,3rd Owner,55805,283000
1797, Maruti Swift,2013,VDI,Manual,Diesel,1st Owner,113498,437000
1798, Hyundai Eon,2012,ERA +,Manual,Petrol,2nd Owner,47816,216000
1799, Hyundai Santro Xing,2012,GL PLUS,Manual,Petrol,1st Owner,60738,261000
1800, Maruti Zen Estilo,2011,LXI,Manual,Petrol,2nd Owner,48837,212000
1801, Maruti Swift,2022,VXI,Manual,Petrol,1st Owner,13522,728000
1802, Hyundai i20,2013,MAGNA (O) 1.2,Manual,Petrol,1st Owner,66085,398000
1803, Jeep Compass,2019,LIMITED 1.4 PETROL AT,Automatic,Petrol,1st Owner,92560,1371000
1804, Renault Kwid,2015,RXT 0.8,Manual,Petrol,1st Owner,22677,332000
1805, Maruti Swift Dzire,2012,LXI,Manual,Petrol,1st Owner,64302,399000
1806, Renault Duster,2013,85 PS RXL,Manual,Diesel,1st Owner,56442,578000
1807, Tata Zest,2015,XMA F-TRONIC DIESEL,Automatic,Diesel,1st Owner,72004,467000
1808, Maruti Ritz,2010,VXI,Manual,Petrol,2nd Owner,91149,301000
1809, Skoda Rapid,2016,AMBITION 1.5 TDI,Manual,Diesel,2nd Owner,64615,552250
1810, Hyundai i20,2012,SPORTZ 1.4 CRDI,Manual,Diesel,3rd Owner,101430,374000
1811, Maruti Swift Dzire,2012,ZDI,Manual,Diesel,1st Owner,100047,495000
1812, Maruti Dzire,2017,ZXI PLUS AMT,Automatic,Petrol,2nd Owner,69846,584000
1813, Maruti Swift Dzire,2012,LXI,Manual,Petrol,1st Owner,38319,392000
1814, Hyundai Elite i20,2016,MAGNA 1.2,Manual,Petrol,1st Owner,75268,542000
1815, Mahindra XUV 3OO,2019,W6 1.5 DIESEL,Manual,Diesel,1st Owner,29953,846000
1816, Maruti Dzire,2018,VDI,Manual,Diesel,2nd Owner,78099,711000
1817, Honda City,2015,1.5L I-DTEC SV,Manual,Diesel,2nd Owner,104903,567000
1818, Toyota Glanza,2019,V CVT,Automatic,Petrol,2nd Owner,29335,802000
1819, Renault TRIBER,2020,RXL MT,Manual,Petrol,2nd Owner,25179,615000
1820, Hyundai Elite i20,2017,SPORTZ 1.2,Manual,Petrol,1st Owner,55378,596000
1821, Maruti Swift,2014,VXI,Manual,Petrol,3rd Owner,123227,396000
1822, Hyundai i20,2012,SPORTZ 1.2 VTVT,Manual,Petrol,1st Owner,82251,405000
1823, Maruti Swift,2012,LXI,Manual,Petrol,1st Owner,74268,393000
1824, Maruti Wagon R 1.0,2010,LXI,Manual,Petrol,2nd Owner,80330,239000
1825, Mahindra XUV500,2014,W6,Manual,Diesel,2nd Owner,95273,810000
1826, Maruti Swift Dzire,2012,VDI,Manual,Diesel,2nd Owner,87895,446000
1827, Hyundai Xcent,2014,S 1.2,Manual,Petrol,1st Owner,66486,406000
1828, Hyundai i20,2012,ERA 1.4 CRDI,Manual,Diesel,1st Owner,40562,445000
1829, Honda Civic,2019,1.8L I-VTEC VX CVT,Automatic,Petrol,1st Owner,63710,1574000
1830, Renault Kwid,2021,RXL,Manual,Petrol,1st Owner,12041,449000
1831, Honda Amaze,2020,1.2L I-VTEC VX,Manual,Petrol,2nd Owner,37176,676000
1832, Honda Brio,2012,V MT,Manual,Petrol,2nd Owner,97335,292000
1833, Hyundai i20,2014,SPORTZ 1.2,Manual,Petrol,1st Owner,55007,486000
1834, Hyundai Elite i20,2018,ASTA 1.4 CRDI,Manual,Diesel,1st Owner,72131,711000
1835, Hyundai Creta,2019,SX AT 1.6 DIESEL,Automatic,Diesel,1st Owner,80463,1316000
1836, Hyundai i20,2011,MAGNA (O) 1.2,Manual,Petrol,2nd Owner,148625,304000
1837, Honda City,2015,1.5L I-VTEC VX CVT,Automatic,Petrol,1st Owner,102783,651000
1838, Mahindra XUV500,2014,W6,Manual,Diesel,2nd Owner,65080,819000
1839, Skoda Rapid,2017,AMBITION 1.6 MPI MT,Manual,Petrol,1st Owner,36024,713000
1840, Maruti Swift,2012,VDI,Manual,Diesel,1st Owner,97868,447000
1841, Hyundai Grand i10,2014,ASTA 1.2 KAPPA VTVT,Manual,Petrol,2nd Owner,82149,393000
1842, Maruti Ritz,2011,VDI,Manual,Diesel,2nd Owner,75879,339000
1843, Mahindra TUV300,2017,T8,Manual,Diesel,2nd Owner,49678,740000
1844, Maruti Baleno,2017,ZETA CVT PETROL 1.2,Automatic,Petrol,1st Owner,52659,644000
1845, Maruti Alto 800,2017,LXI,Manual,Petrol,1st Owner,121145,268000
1846, Honda Jazz,2015,1.5L I-DTEC VX,Manual,Diesel,2nd Owner,92656,476000
1847, Renault Kwid,2016,RXT 1.0,Manual,Petrol,1st Owner,14993,373000
1848, Renault Duster,2013,85 PS RXL DIESEL,Manual,Diesel,2nd Owner,104606,509000
1849, Hyundai Elite i20,2015,SPORTZ 1.2 (O),Manual,Petrol,2nd Owner,26502,574000
1850, Datsun Redi Go,2018,T(O) 1.0,Manual,Petrol,2nd Owner,72869,269000
1851, Hyundai Grand i10,2014,SPORTZ 1.2 KAPPA VTVT,Manual,Petrol,2nd Owner,46054,400000
1852, Maruti Dzire,2018,ZXI PLUS AMT,Automatic,Petrol,2nd Owner,24083,655000
1853, Maruti Swift Dzire,2014,VXI,Manual,Petrol,2nd Owner,58833,466350
1854, Hyundai Eon,2015,ERA +,Manual,Petrol,2nd Owner,42303,301000
1855, Maruti Dzire,2019,VXI AMT,Automatic,Petrol,1st Owner,58998,622000
1856, Maruti New Wagon-R,2021,VXI (O) 1.0,Manual,Petrol,1st Owner,11679,597000
1857, Maruti Alto K10,2014,VXI,Manual,Petrol,3rd Owner,68307,252000
1858, Hyundai Verna,2018,1.6 VTVT SX (O) AT,Automatic,Petrol,2nd Owner,39968,992000
1859, Maruti Swift,2018,ZXI,Manual,Petrol,1st Owner,29767,695000
1860, Hyundai New Elantra,2019,2.0 SX AT PETROL,Automatic,Petrol,1st Owner,24185,1507000
1861, Maruti Celerio,2017,VXI AMT,Automatic,Petrol,2nd Owner,22308,454000
1862, Maruti Vitara Brezza,2016,ZDI PLUS,Manual,Diesel,1st Owner,50056,893000
1863, Hyundai Creta,2018,1.6 SX PLUS PETROL,Manual,Petrol,2nd Owner,25434,1017000
1864, Ford Ecosport,2020,TITANIUM + 1.5L PETROL AT,Automatic,Petrol,1st Owner,31724,967000
1865, Maruti Ciaz,2016,ZXI,Manual,Petrol,2nd Owner,55437,653000
1866, Maruti Ritz,2011,VXI,Manual,Petrol,2nd Owner,57364,314000
1867, Hyundai i10,2010,SPORTZ 1.2,Manual,Petrol,1st Owner,48637,268000
1868, Maruti Dzire,2017,ZXI Plus AMT,Automatic,Petrol,1st Owner,93533,590000
1869, Hyundai i10,2016,SPORTZ 1.1,Manual,Petrol,2nd Owner,98602,349000
1870, Maruti Baleno,2016,DELTA CVT PETROL 1.2,Automatic,Petrol,1st Owner,63328,573000
1871, Maruti Wagon R 1.0,2016,VXI AMT,Automatic,Petrol,3rd Owner,85577,371000
1872, Maruti Celerio,2016,ZXI,Manual,Petrol,1st Owner,32357,429000
1873, Maruti Swift,2020,VXI AMT,Automatic,Petrol,2nd Owner,13661,686000
1874, Maruti Alto,2021,VXI,Manual,Petrol,2nd Owner,17843,385000
1875, Maruti Swift,2014,VXI,Manual,Petrol,1st Owner,71318,442000
1876, Maruti Swift,2018,VXI AMT,Automatic,Petrol,1st Owner,46009,623000
1877, Datsun Redi Go,2017,T(O) 1.0,Manual,Petrol,2nd Owner,38282,288000
1878, Hyundai i20,2014,ASTA 1.4 CRDI,Manual,Diesel,1st Owner,41425,573000
1879, Maruti Vitara Brezza,2018,ZDI PLUS AMT,Automatic,Diesel,1st Owner,55927,970000
1880, Maruti Ertiga,2017,ZDI + SHVS,Manual,Diesel,2nd Owner,46519,956000
1881, Honda City,2012,1.5L I-VTEC S MT,Manual,Petrol,1st Owner,72856,458000
1882, Maruti Swift,2015,ZDI,Manual,Diesel,2nd Owner,67791,644000
1883, Maruti IGNIS,2019,ALPHA 1.2 AMT,Automatic,Petrol,2nd Owner,11483,670000
1884, Maruti Swift,2011,VXI,Manual,Petrol,2nd Owner,96278,360000
1885, Maruti Swift,2015,VXI,Manual,Petrol,3rd Owner,77147,463000
1886, Maruti Vitara Brezza,2017,ZDI PLUS,Manual,Diesel,1st Owner,42611,993000
1887, Maruti Ciaz,2019,ALPHA DIESEL 1.5,Manual,Diesel,2nd Owner,122864,779000
1888, Hyundai NEW I20,2021,ASTA 1.0 GDI TURBO DCT,Automatic,Petrol,2nd Owner,40429,980000
1889, Mahindra TUV300,2018,T10,Manual,Diesel,1st Owner,54603,823000
1890, Mahindra XUV500,2016,W10,Manual,Diesel,2nd Owner,64061,1205000
1891, Toyota YARIS,2019,G CVT,Automatic,Petrol,1st Owner,11877,897000
1892, Tata Zest,2014,XMS PETROL,Manual,Petrol,1st Owner,53473,424000
1893, Honda Brio,2015,S MT,Manual,Petrol,2nd Owner,22985,403000
1894, Tata NEXON,2021,XZA PLUS (O) PETROL,Automatic,Petrol,1st Owner,7662,1217000
1895, Hyundai Verna,2013,FLUIDIC 1.6 VTVT SX,Manual,Petrol,1st Owner,68237,526000
1896, Hyundai Verna,2013,FLUIDIC 1.6 CRDI SX,Manual,Diesel,2nd Owner,72991,564000
1897, Maruti Ertiga,2013,ZDI,Manual,Diesel,1st Owner,80267,750000
1898, KIA SELTOS,2021,HTX PLUS 1.5 DIESEL,Manual,Diesel,1st Owner,47344,1556000
1899, Renault Kwid,2019,RXT 0.8 (O),Manual,Petrol,1st Owner,31992,374000
1900, Maruti Swift,2014,VXI,Manual,Petrol,1st Owner,113521,459000
1901, Maruti Alto K10,2011,VXI,Manual,Petrol,3rd Owner,58883,221000
1902, Renault Kwid,2022,CLIMBER MT 1.0,Manual,Petrol,1st Owner,1800,596000
1903, Skoda Rapid,2020,ACTIVE 1.0 TSI,Manual,Petrol,1st Owner,11633,894000
1904, Hyundai Eon,2016,MAGNA +,Manual,Petrol,3rd Owner,30906,313000
