,name,year,engine,transmission,fuel,ownership,distance_travelled,Price
1126, Renault Kiger,2021,RXZ CVT 1.0 TURBO,Automatic,Petrol,1st Owner,32302,980000
1127, Maruti Ciaz,2018,S 1.4 MT PETROL,Manual,Petrol,2nd Owner,64130,692000
1128, Honda Jazz,2015,1.2L I-VTEC V AT,Automatic,Petrol,1st Owner,55412,563000
1129, Hyundai Verna,2018,1.6 CRDI SX,Manual,Diesel,2nd Owner,49792,981000
1130, Hyundai Elite i20,2015,ASTA 1.4 CRDI (O),Manual,Diesel,1st Owner,128975,592000
1131, Honda Amaze,2016,1.2L I-VTEC VX,Manual,Petrol,1st Owner,46099,537000
1132, Maruti Baleno,2017,ALPHA CVT PETROL 1.2,Automatic,Petrol,1st Owner,33324,708000
1133, Maruti Swift Dzire,2016,VXI (O) AT,Automatic,Petrol,2nd Owner,31458,572000
1134, Maruti Dzire,2018,ZXI,Manual,Petrol,1st Owner,76303,608000
1135, Hyundai Grand i10,2016,ASTA (O) 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,13860,583000
1136, Renault Kwid,2020,RXT 1.0 AMT (O),Automatic,Petrol,1st Owner,8733,577000
1137, Mahindra XUV500,2016,W10 AWD,Manual,Diesel,2nd Owner,79755,1163000
1138, Volkswagen Vento,2018,1.2 TSI HIGHLINE PLUS AT,Automatic,Petrol,1st Owner,56460,852000
1139, Hyundai Verna,2021,SX (O) 1.5 VTVT IVT,Automatic,Petrol,1st Owner,43353,1340000
1140, Hyundai Grand i10,2018,MAGNA 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,17190,579000
1141, Hyundai Grand i10,2017,SPORTZ (O) 1.2 KAPPA VTVT,Manual,Petrol,2nd Owner,33623,532000
1142, Hyundai i20,2014,ASTA 1.2,Manual,Petrol,1st Owner,77526,502000
1143, Maruti Swift,2011,VXI,Manual,Petrol,1st Owner,60020,392000
1144, Hyundai i10,2014,ERA 1.1,Manual,Petrol,1st Owner,48978,358000
1145, Hyundai Grand i10,2017,SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,Petrol,1st Owner,17574,617000
1146, Maruti A Star,2010,VXI,Manual,Petrol,2nd Owner,64103,223000
1147, Maruti Celerio,2015,VXI AMT,Automatic,Petrol,1st Owner,56150,430000
1148, Tata ALTROZ,2021,XZ DIESEL,Manual,Diesel,1st Owner,31490,879000
1149, Honda WR-V,2017,1.5L I-DTEC VX MT,Manual,Diesel,1st Owner,82084,722000
1150, Maruti IGNIS,2017,DELTA 1.2 AMT,Automatic,Petrol,3rd Owner,42622,548000
1151, Maruti Swift Dzire,2016,VDI (O),Manual,Diesel,2nd Owner,43803,568000
1152, Maruti Celerio,2016,VXI,Manual,Petrol,2nd Owner,41268,428000
1153, Maruti Celerio,2020,ZXI,Manual,Petrol,1st Owner,27528,528000
1154, Honda Jazz,2017,1.2L I-VTEC V,Manual,Petrol,1st Owner,67633,632000
1155, Renault Captur,2019,PLATINE PETROL DUAL TONE,Manual,Petrol,1st Owner,26583,823000
1156, Maruti Baleno,2017,ZETA PETROL 1.2,Manual,Petrol,1st Owner,40356,712000
1157, Honda Jazz,2010,1.2 BASE I VTEC,Manual,Petrol,2nd Owner,90448,325000
1158, Maruti IGNIS,2018,SIGMA 1.2,Manual,Petrol,1st Owner,35050,495000
1159, Hyundai Creta,2017,SX PLUS AT 1.6 PETROL,Automatic,Petrol,3rd Owner,74511,972000
1160, Maruti Swift,2013,VXI,Manual,Petrol,1st Owner,32993,502000
1161, Honda City,2016,V MT PETROL,Manual,Petrol,1st Owner,38706,724000
1162, Ford Ecosport,2020,TITANIUM + 1.5L PETROL,Manual,Petrol,1st Owner,14618,980000
1163, Hyundai Creta,2017,SX PLUS AT 1.6 PETROL,Automatic,Petrol,2nd Owner,24459,1028000
1164, Tata Tiago,2018,XZ PETROL,Manual,Petrol,2nd Owner,38272,498000
